,Released_Year,Runtime,IMDB_Rating,Meta_score,No_of_Votes,Gross,Gross_log,No_of_Votes_log
Released_Year,1.0,-0.017913700899477,-0.1786616372683505,-0.2726581522904743,0.2000788435020908,0.23449476095016322,0.18461467813762786,0.2385285705712226
Runtime,-0.017913700899477,1.0,0.2576401101247069,-0.0059477663680640004,0.21292748136915515,0.16937994626889066,0.17368634416454456,0.16264863502328455
IMDB_Rating,-0.1786616372683505,0.2576401101247069,1.0,0.2837452702618575,0.6092387477062343,0.13085660767247445,0.04735670847171564,0.4675789005420887
Meta_score,-0.2726581522904743,-0.0059477663680640004,0.2837452702618575,1.0,0.028578270620717532,-0.014663267036396834,-0.014356663913699861,0.0008497432117836358
No_of_Votes,0.2000788435020908,0.21292748136915515,0.6092387477062343,0.028578270620717532,1.0,0.560954953984965,0.5165497193553183,0.8719271892962772
Gross,0.23449476095016322,0.16937994626889066,0.13085660767247445,-0.014663267036396834,0.560954953984965,1.0,0.6670633279514366,0.534381500902746
Gross_log,0.18461467813762786,0.17368634416454456,0.04735670847171564,-0.014356663913699861,0.5165497193553183,0.6670633279514366,1.0,0.6028097156243243
No_of_Votes_log,0.2385285705712226,0.16264863502328455,0.4675789005420887,0.0008497432117836358,0.8719271892962772,0.534381500902746,0.6028097156243243,1.0
